District,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
0.0,91,1.0,8230204.0,30.6,30.6,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,5.0,nan,1.0
0.0,92,1.0,8232146.0,28.6,28.6,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,4.0,nan,1.0
0.0,93,1.0,8299000.0,35.0,19.0,10.0,5.62092837162,5.0,1.0,0.0,1.0,0.0,7.0,12.0,0.0
0.0,94,1.0,8300000.0,35.0,17.0,10.0,5.62092837162,5.0,0.0,0.0,1.0,0.0,7.0,12.0,0.0
0.0,95,1.0,8335196.0,34.4,34.4,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,1.0,nan,1.0
0.0,96,1.0,8400000.0,32.0,19.0,5.1,4.40850062987,6.0,1.0,1.0,1.0,1.0,9.0,9.0,0.0
0.0,97,1.0,8400000.0,31.0,19.0,6.0,3.76832364693,7.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0
0.0,98,1.0,8400000.0,39.0,19.0,8.0,6.73081817115,14.0,1.0,1.0,1.0,1.0,7.0,16.0,0.0
0.0,99,1.0,8410919.0,28.7,28.7,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,5.0,nan,1.0
0.0,100,1.0,8429850.0,42.9,nan,nan,4.46400615034,5.0,1.0,1.0,0.0,0.0,3.0,39.0,1.0
0.0,101,1.0,8499650.0,43.7,nan,nan,4.46400615034,5.0,1.0,1.0,0.0,0.0,2.0,39.0,1.0
0.0,102,1.0,8500000.0,37.0,18.5,11.5,4.52945276507,5.0,1.0,0.0,1.0,0.0,6.0,17.0,0.0
0.0,103,2.0,8500000.0,42.0,26.6,5.0,3.91496288106,7.0,1.0,1.0,0.0,0.0,1.0,9.0,0.0
0.0,104,1.0,8500000.0,35.0,18.0,9.0,3.82200973608,10.0,1.0,0.0,1.0,1.0,6.0,16.0,0.0
0.0,105,2.0,8500000.0,43.5,28.7,6.0,4.66384474595,8.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0
0.0,106,1.0,8611226.0,36.8,36.8,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,4.0,nan,1.0
0.0,107,1.0,8628726.0,50.0,50.0,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,3.0,nan,1.0
0.0,108,1.0,8650000.0,38.8,23.1,9.0,4.87738190611,2.0,1.0,1.0,0.0,0.0,13.0,14.0,0.0
